k[h/Mpc] G1(z=0.00) G1(z=0.50) G1(z=1.0) G1(z=2.0) G1(z=3.0)
0.04341288471758701 1.2109481895178664 1.2193324773047984 1.224376656958456 1.227380211292962 1.2270975210506403
0.0750893922356086 1.2169300693373508 1.2283533811447729 1.2346067750908345 1.2365774026007748 1.2349180446188606
0.10512423484714102 1.2128753414987659 1.1930461245927235 1.1922905479167007 1.2000394635738747 1.2057075369526258
0.13578833181807864 1.2859971594311104 1.2733417147490411 1.265575509794402 1.2526890239309232 1.2445844980697705
0.1678014078015011 1.199580627692055 1.1778965544010855 1.1852600366642245 1.2005481054013625 1.208327666715988
0.19819705373872587 1.2246217686559513 1.2295691205307917 1.2459910116028028 1.2570321856837605 1.2561021082894386
0.22843357424068816 1.4350190275658614 1.3830415103818892 1.3498271781207998 1.2966259549946808 1.2683109625397964
0.2590925949189508 1.4654937735428497 1.4045609564942254 1.3829180362037339 1.3413262207899588 1.3108737803428576
0.2901152471657099 1.4625673930602912 1.3781658358642095 1.3512500746800016 1.3179215440127052 1.2956413556822641
0.32079146357205085 1.4755320333292021 1.373736158388238 1.3760637064526746 1.3576802745839345 1.3293007584899694
0.35111682765054 1.5308945903392213 1.4567740628067498 1.4619676049986072 1.3973894512619387 1.3451873531922465
0.3824752932647276 1.4815234948768208 1.5083744452783223 1.543785122084937 1.4708326852609412 1.3955721898795566
0.41375993633783803 1.6819742122702253 1.5886110956209603 1.552196891029849 1.4297949308321556 1.363572836925176
0.44387973235985057 1.7830767962739824 1.6154749392997827 1.5764673737377746 1.4423171853977919 1.3648842904718599
0.4742131209833677 1.7865855947414122 1.570617150515937 1.5530784103243387 1.4371107556811014 1.3747753189041507
0.5047624725435907 1.8332275738517245 1.590621453552163 1.5852993619430438 1.5131625607862427 1.4413854861974942
0.5354362906786712 1.8530258537674782 1.6303983231977721 1.6735420347321641 1.5136740877457389 1.4242564253259506
0.5662673541039991 1.8374104448505169 1.6127209546814618 1.6316483324954003 1.5281377670358567 1.4432987502190149
0.5970092886779543 1.840573808746775 1.5990799944572098 1.680556754523729 1.5501818802857064 1.4568046321229136
0.6277157545458268 1.8949444346467281 1.6502302602676127 1.751480766488433 1.5447062256781554 1.4558314369752132
0.6582930989347382 1.8981715168220414 1.6563619718974483 1.7570757598626958 1.5917625716826724 1.5023176709738917
0.6887712189481929 1.8720176329658367 1.6900963893687586 1.8201998911293784 1.604326251038013 1.5364467161270965
0.7196035982260218 1.7937198932423148 1.680420809495577 1.7593201430708088 1.6747583416547756 1.578715832311595
0.7501899933016178 1.77734194384775 1.7517861883344104 1.794991296299229 1.676581130316302 1.55168540273764
0.7809464037564745 1.714960731048023 1.7431049954582012 1.8348728470281603 1.6787831210434478 1.5575172558581916
0.8119265809271117 1.7987800078955307 1.7349047584138848 1.801036988035804 1.6928382216299833 1.5955252983781734
0.842647219977409 1.8318375157143196 1.734934683026018 1.8065119530637541 1.722699992733043 1.6090143922626539
0.8731410121004262 1.916334226897608 1.708013522080272 1.8958193432481592 1.7524319675748448 1.6352132839001496
0.9036461088228066 1.9575907718493524 1.717256926769807 1.86756322164641 1.7623202870419958 1.6269872806635444
0.9341275122874713 1.782207912329089 1.83287652497056 1.9456261954497973 1.779524496411401 1.6423200382984242
0.9648797485983911 1.6984488098616857 1.8970154739669134 1.8162949611808064 1.789758942336971 1.6972106034677485
0.9956564801447121 1.6790230039344567 1.8805842016895442 1.887953456156322 1.784286711345437 1.6719797558375311
1.0263789758672643 1.794052880454854 1.8176086262747586 1.9045751010805865 1.8038450069510268 1.6876977785552714
1.0570963702396021 1.656227899236512 1.8577432989758749 1.9452062360115003 1.8651532923168213 1.7089275393954528
1.08772709373597 1.639633990580469 1.9120687471137532 1.887740201001574 1.8751745270027653 1.7441032709830582
1.1184033762889067 1.6641152948619642 1.8213124392417663 1.887516010423771 1.894369876383049 1.7652810941347035
1.1489189970368519 1.7224251524898093 1.857035674779091 1.942754246785242 1.8506990924455184 1.7892098602421351
1.179575424721023 1.6137074728994216 1.739685093879118 1.9649237952671466 1.9253112068963176 1.7765862834143467
1.2102466689689488 1.5594388105010515 1.7773794525908901 1.9673268599637395 1.947194947006965 1.8075429426952876
1.240838034762679 1.6547737613076596 1.7955030886755354 2.0361850727703605 1.9389535111387959 1.7752695750739864
1.2714792993571857 1.4817308429979659 1.8913933656786985 1.9980539840812872 1.9443875518172904 1.8194287158202826
1.3021868989754697 1.4784988198745408 1.7088726518752133 2.0061614642261434 2.0024146970556393 1.8216444662338285
1.3329883524705177 1.4003206987812877 1.8750954281841712 1.9695425401462745 1.9696496917837814 1.8275869628921644
1.3636780656048282 1.5069963787962448 1.828570621171901 2.0145421828186834 1.9609820544783254 1.8398324396370405
1.394333280992331 1.4412099297533465 1.7982426958917768 2.030424932773602 2.0230032300256293 1.8772560089519434
1.424821071494309 1.3623738821985032 1.809863383485125 1.9722011371544652 2.023209671438945 1.8952145439480423
