k[h/Mpc] G1(z=0.00) G1(z=0.50) G1(z=1.0) G1(z=2.0) G1(z=3.0)
0.04341288471758701 1.2107267978570802 1.2192259754271937 1.2243762203514246 1.2275807184845673 1.2272113267637306
0.0750893922356086 1.2170496201204195 1.2286211074389453 1.2349138098112031 1.2368331301926658 1.2351472653545614
0.10512423484714102 1.21292458145277 1.193166105294416 1.1925015953277402 1.2005856621171132 1.2061625365852087
0.13578833181807864 1.286117765524355 1.273721774808999 1.2658964219981033 1.2532860095962737 1.2451660368203694
0.1678014078015011 1.1999246301277555 1.1785667479176893 1.1856662146231964 1.2012783359326122 1.2089106117721602
0.19819705373872587 1.2250480792881713 1.2302902457185452 1.2462571268832643 1.2573317909826067 1.2566945337607867
0.22843357424068816 1.4350218322916541 1.3831934599401738 1.3497307217402332 1.2971634845860447 1.2692180835676825
0.2590925949189508 1.4659519398087983 1.4051065803169602 1.3829281303429746 1.3422399868341426 1.311995471602173
0.2901152471657099 1.4635377989686638 1.3788975595834516 1.3511182116167042 1.3182685282155409 1.2969890462979676
0.32079146357205085 1.4767322213031975 1.375273248932741 1.3768121882543194 1.3585800178927325 1.3306801600487486
0.35111682765054 1.5329466327017571 1.4589806890842596 1.4630682511367994 1.3985697825787928 1.347040704956363
0.3824752932647276 1.4831622144848533 1.5094576546186798 1.5436719647640187 1.4708807388499345 1.3973701327050851
0.41375993633783803 1.685886097616176 1.591704110651492 1.5529517821685448 1.4311326566529459 1.366166360829523
0.44387973235985057 1.7863319661044652 1.6188771799954549 1.57728339987092 1.4435764617864097 1.3677564322682159
0.4742131209833677 1.7898959318556584 1.5738243059309118 1.5533469210043902 1.4378927009883904 1.377916546281348
0.5047624725435907 1.8379395450735048 1.5949151071980519 1.5844944431544663 1.5141612691438957 1.4442804311331758
0.5354362906786712 1.8568294198878155 1.6340288939860617 1.6727902927001583 1.5146581484027728 1.427994130899691
0.5662673541039991 1.8424749612528635 1.6170153721444818 1.6320761480775772 1.5291222019325013 1.447083061247922
0.5970092886779543 1.8468718086979308 1.603866145289858 1.6813759628947573 1.551847387005957 1.4614055012706118
0.6277157545458268 1.9037260035801484 1.654152478310492 1.7505680555678833 1.5462550857580435 1.46068906299542
0.6582930989347382 1.908618592357122 1.6641877291702423 1.7578118253767063 1.5925559173165387 1.5068346315067038
0.6887712189481929 1.8829619526982144 1.698179219792837 1.8178282453555021 1.6059191689161263 1.541902212064215
0.7196035982260218 1.8069251127631858 1.688295367476512 1.7582163292819244 1.6754901347960551 1.58437737853542
0.7501899933016178 1.7891757569388145 1.7622356244094188 1.7936965523548971 1.678282761320776 1.5573959202723435
0.7809464037564745 1.7272236855001266 1.7556586949270427 1.8353038957630237 1.6812302850196215 1.5646288368925605
0.8119265809271117 1.8133668655883362 1.7459978632460136 1.7992087798599847 1.693033080035657 1.602329993933822
0.842647219977409 1.8490671826797656 1.750005444612103 1.8092998518698227 1.724501500201022 1.6162426834753134
0.8731410121004262 1.9350025015787797 1.7254709292435781 1.897539913007785 1.7540414742316441 1.642640581326035
0.9036461088228066 1.9790741947338697 1.7365725829306526 1.8687212092725698 1.7632322829231213 1.6354534693871066
0.9341275122874713 1.802872711521426 1.854884682777036 1.9458678454287224 1.7809164256182997 1.6508150737017542
0.9648797485983911 1.7206732695491023 1.9218160869252312 1.817272204958595 1.7908369002839437 1.7062230381177503
0.9956564801447121 1.7002728065764239 1.9043311442832773 1.889274153304061 1.7849907464964239 1.6813030893940741
1.0263789758672643 1.8149414472958791 1.8431641422836926 1.9046961516412646 1.804329116269495 1.697148003657226
1.0570963702396021 1.676862903484142 1.8887789553737493 1.9455894498922686 1.8650066452689416 1.7189521823502596
1.08772709373597 1.6638852320652264 1.9455054384002222 1.8883186835382784 1.8771592594611821 1.7548821403853148
