0.00029447 1199.5 971.74 788.52 644.47 532.05 444.16 374.94 319.88 275.61 239.62 210.05 
0.00030042 1222.8 990.62 803.85 656.99 542.4 452.79 382.23 326.1 280.97 244.28 214.14 
0.00030649 1246.5 1009.9 819.47 669.76 552.94 461.6 389.66 332.44 286.43 249.03 218.3 
0.00031268 1270.8 1029.5 835.39 682.78 563.69 470.57 397.23 338.9 292.0 253.88 222.55 
0.00031899 1295.4 1049.5 851.62 696.05 574.64 479.71 404.95 345.49 297.68 258.81 226.87 
0.00032544 1320.6 1069.9 868.17 709.57 585.8 489.03 412.82 352.2 303.46 263.84 231.28 
0.00033201 1346.2 1090.7 885.03 723.35 597.18 498.53 420.84 359.05 309.36 268.97 235.78 
0.00033872 1372.4 1111.8 902.21 737.4 608.78 508.22 429.01 366.02 315.37 274.19 240.36 
0.00034556 1399.0 1133.4 919.72 751.71 620.6 518.08 437.35 373.13 321.5 279.52 245.03 
0.00035254 1426.2 1155.4 937.58 766.3 632.65 528.14 445.84 380.38 327.74 284.95 249.79 
0.00035966 1453.8 1177.8 955.77 781.18 644.93 538.39 454.49 387.76 334.1 290.48 254.64 
0.00036693 1482.0 1200.7 974.31 796.33 657.44 548.84 463.31 395.29 340.59 296.12 259.58 
0.00037434 1510.8 1224.0 993.21 811.78 670.2 559.49 472.3 402.96 347.2 301.87 264.62 
0.0003819 1540.1 1247.7 1012.5 827.52 683.19 570.34 481.46 410.77 353.93 307.73 269.75 
0.00038962 1569.9 1271.9 1032.1 843.56 696.44 581.4 490.8 418.74 360.8 313.69 274.99 
0.00039749 1600.3 1296.5 1052.1 859.91 709.94 592.67 500.32 426.86 367.8 319.78 280.32 
0.00040552 1631.3 1321.6 1072.5 876.58 723.7 604.16 510.02 435.14 374.93 325.98 285.76 
0.00041371 1662.9 1347.2 1093.3 893.56 737.72 615.87 519.9 443.57 382.2 332.3 291.3 
0.00042207 1695.1 1373.3 1114.4 910.86 752.01 627.8 529.97 452.16 389.6 338.74 296.94 
0.0004306 1727.9 1399.9 1136.0 928.5 766.57 639.96 540.24 460.92 397.15 345.3 302.7 
0.00043929 1761.3 1427.0 1158.0 946.47 781.41 652.34 550.7 469.85 404.84 351.99 308.56 
0.00044817 1795.4 1454.6 1180.4 964.78 796.53 664.97 561.36 478.94 412.68 358.8 314.54 
